windc_sector,windc_desc,bea_summary,bea_summary_desc,oecd_code,OECD ICIO Industry,"flag (0=possibilities, 1=error,2=ambiguous,3=perfect match)",proposed sector,which is larger?
pub,"Publishing industries, except internet (includes software) (511)",511,"Publishing industries, except internet (includes software)",J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities",0,"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",none
brd,Broadcasting and telecommunications (513),513,Broadcasting and telecommunications,J61,Telecommunications,0,"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",none
com,Computer systems design and related services (5415),5415,Computer systems design and related services,J62_63,Computer programming and information service activities,0,"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",none
dat,"Data processing, internet publishing, and other information services (514)",514,"Data processing, internet publishing, and other information services",J62_63,Computer programming and information service activities,0,"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",none
fbt,Food and beverage stores (445),445,Food and beverage stores,G,Wholesale and retail trade,0,"Wholesale and retail trade, stores",oecd
gmt,General merchandise stores (452),452,General merchandise stores,G,Wholesale and retail trade,0,"Wholesale and retail trade, stores",oecd
sec,"Securities, commodity contracts, and investments (523)",523,"Securities, commodity contracts, and investments",K,Financial and insurance activities,2,Financial and insurance activities,oecd
amd,Accommodation (721),721,Accommodation,I,Accommodation and food service activities,0,Accommodation and food service activities,oecd
res,Food services and drinking places (722),722,Food services and drinking places,I,Accommodation and food service activities,0,Accommodation and food service activities,oecd
art,"Performing arts, spectator sports, museums, and related activities (711AS)",711AS,"Performing arts, spectator sports, museums, and related activities",R,"Arts, entertainment and recreation activities",0,"Arts, entertainment and recreation activities",oecd
rec,"Amusements, gambling, and recreation industries (713)",713,"Amusements, gambling, and recreation industries",R,"Arts, entertainment and recreation activities",0,"Arts, entertainment and recreation activities",oecd
bnk,"Federal Reserve banks, credit intermediation, and related activities (521CI)",521CI,"Federal Reserve banks, credit intermediation, and related activities",K,Financial and insurance activities,0,Financial and insurance activities,oecd
fin,"Funds, trusts, and other financial vehicles (525)",525,"Funds, trusts, and other financial vehicles",K,Financial and insurance activities,0,Financial and insurance activities,oecd
ins,Insurance carriers and related activities (524),524,Insurance carriers and related activities,K,Financial and insurance activities,0,Financial and insurance activities,oecd
