windc_sector,windc_desc,bea_summary,bea_summary_desc,oecd_code,OECD ICIO Industry
fof,"Forestry, fishing, and related activities (113FF)",113FF,"Forestry, fishing, and related activities",A01,Agriculture and hunting
fof,"Forestry, fishing, and related activities (113FF)",113FF,"Forestry, fishing, and related activities",A02,Forestry and logging
fof,"Forestry, fishing, and related activities (113FF)",113FF,"Forestry, fishing, and related activities",A03,Fishing and aquaculture
fof,"Forestry, fishing, and related activities (113FF)",113FF,"Forestry, fishing, and related activities",C16,Manufacture of wood and of products of wood and cork
fof,"Forestry, fishing, and related activities (113FF)",113FF,"Forestry, fishing, and related activities",M,"Professional, scientific and technical activities"
fpd,Furniture and related products (337),337,Furniture and related products,C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
fpd,Furniture and related products (337),337,Furniture and related products,C16,Manufacture of wood and of products of wood and cork
fpd,Furniture and related products (337),337,Furniture and related products,C22,Manufacture of rubber and plastic products
fpd,Furniture and related products (337),337,Furniture and related products,C25,Manufacture of fabricated metal products
fpd,Furniture and related products (337),337,Furniture and related products,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
gmt,General merchandise stores (452),452,General merchandise stores,G,Wholesale and retail trade; repair of motor vehicles and motorcycles
grd,Transit and ground passenger transportation (485),485,Transit and ground passenger transportation ,H49,Land transport and transport via pipelines
hos,Hospitals (622),622,Hospitals,Q,Human health and social work activities
hou,Housing (HS),HS,Housing,L,Real estate activities
ins,Insurance carriers and related activities (524),524,Insurance carriers and related activities,K,Financial and insurance activities
leg,Legal services (5411),5411,Legal services,M,"Professional, scientific and technical activities"
man,Management of companies and enterprises (55),55,Management of companies and enterprises,K,Financial and insurance activities
man,Management of companies and enterprises (55),55,Management of companies and enterprises,M,"Professional, scientific and technical activities"
mch,Machinery (333),333,Machinery,C25,Manufacture of fabricated metal products
mch,Machinery (333),333,Machinery,C26,"Manufacture of computer, electronic and optical products"
mch,Machinery (333),333,Machinery,C27,Manufacture of electrical equipment
mch,Machinery (333),333,Machinery,C28,Manufacture of machinery and equipment n.e.c. 
mch,Machinery (333),333,Machinery,C29,"Manufacture of motor vehicles, trailers and semi-trailers"
mch,Machinery (333),333,Machinery,C302T309,Manufacture of other transport equipment
mch,Machinery (333),333,Machinery,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
min,"Mining, except oil and gas (212)",212,"Mining, except oil and gas",B05,Mining of coal and lignite
min,"Mining, except oil and gas (212)",212,"Mining, except oil and gas",B07,Mining of metal ores
min,"Mining, except oil and gas (212)",212,"Mining, except oil and gas",B08,Other mining and quarrying
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C16,Manufacture of wood and of products of wood and cork
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C20,Manufacture of chemicals and chemical products
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C22,Manufacture of rubber and plastic products
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C23,Manufacture of other non-metallic mineral products
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C25,Manufacture of fabricated metal products
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C26,"Manufacture of computer, electronic and optical products"
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C27,Manufacture of electrical equipment
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C28,Manufacture of machinery and equipment n.e.c. 
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C302T309,Manufacture of other transport equipment
