build,origin,share_to_CA
scen_random_1,TN,0.0683084168456166
scen_random_1,TX,0.11495196582115423
scen_random_1,UT,0.29216379041634977
scen_random_1,VA,0.03608555581817953
scen_random_1,VT,0.031767229939863265
scen_random_1,WA,0.3163217616314265
scen_random_1,WI,0.0847584464264255
scen_random_1,WV,0.04662600892086842
scen_random_1,WY,0.06657897922153835
scen_random_2,AK,0.24250749070485822
scen_random_2,AL,0.04253741251150497
scen_random_2,AR,0.07407261907190534
scen_random_2,AZ,0.349503705722319
scen_random_2,CA,0.0
scen_random_2,CO,0.18291377408504966
scen_random_2,CT,0.023132444802974432
scen_random_2,DC,0.03735626538014061
scen_random_2,DE,0.024335124297276706
scen_random_2,FL,0.05916893715219019
scen_random_2,GA,0.05248470788486853
scen_random_2,HI,0.21842556321372608
scen_random_2,IA,0.07984360030273424
scen_random_2,ID,0.5587583141918069
scen_random_2,IL,0.07002986683620006
scen_random_2,IN,0.048645972488042956
scen_random_2,KS,0.0645107052425186
scen_random_2,KY,0.042374346528132836
scen_random_2,LA,0.03504388974622696
scen_random_2,MA,0.03155096114484429
scen_random_2,MD,0.03468397028781176
scen_random_2,ME,0.0340813610079641
scen_random_2,MI,0.07462549556896714
scen_random_2,MN,0.0946233391463313
scen_random_2,MO,0.07575935168835628
scen_random_2,MS,0.049645466566338496
scen_random_2,MT,0.18279069841485895
scen_random_2,NC,0.04605688026499506
scen_random_2,ND,0.14520238096176646
scen_random_2,NE,0.07552580237076817
scen_random_2,NH,0.023236717331256738
scen_random_2,NJ,0.04576937938866982
scen_random_2,NM,0.14581596840471905
scen_random_2,NV,0.5052583034435879
scen_random_2,NY,0.042806410613965735
scen_random_2,OH,0.04683522678058075
scen_random_2,OK,0.08666269192302169
scen_random_2,OR,0.5420809121379128
scen_random_2,PA,0.038640702908329105
scen_random_2,RI,0.02620899043889228
scen_random_2,SC,0.052996504521669645
scen_random_2,SD,0.10476133483934337
scen_random_2,TN,0.062323026524567476
scen_random_2,TX,0.12122272605658013
scen_random_2,UT,0.34157255641444934
scen_random_2,VA,0.03586648629637058
scen_random_2,VT,0.02763858068238249
scen_random_2,WA,0.3783317981276214
scen_random_2,WI,0.08317120004964039
scen_random_2,WV,0.040515712881833095
scen_random_2,WY,0.10547021766125872
CFS,AK,0.02057831147428808
CFS,AL,0.0573389027583301
CFS,AR,0.046188015483598806
CFS,AZ,0.2390323961946095
CFS,CA,0.0
CFS,CO,0.10448512913277558
CFS,CT,0.042895772208604355
CFS,DC,0.02952762959847915
CFS,DE,0.041151296727757476
CFS,FL,0.07919164647451263
CFS,GA,0.05045461332052161
CFS,HI,0.34137673408674474
CFS,IA,0.045317958981998384
CFS,ID,0.12102127446419157
CFS,IL,0.047840739364037085
CFS,IN,0.040355090069265846
CFS,KS,0.05440156192080063
CFS,KY,0.046359615695388164
CFS,LA,0.037277520308454576
CFS,MA,0.05720601432733448
CFS,MD,0.059863606749207314
CFS,ME,0.03780862057445545
CFS,MI,0.047068183512634504
CFS,MN,0.06204476771675324
CFS,MO,0.06068618022856111
