sector,build,Leontief,IIM,Ghosh
Real estate activities,g0.75,-16048.35923856112,-29094.941450276983,-23299.290314632595
Support activities for mining,g0.75,-216.23994104824445,-392.52853011805877,-946.503668356632
T,g0.75,0.0,0.0,0.0
Warehousing and support activities for transportation,g0.75,-4936.104214456462,-9570.62766650711,-2947.884409746765
Water transport,g0.75,-262.8334701680588,-478.48538692592064,-604.4134918871246
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g0.75,-18834.26380495262,-39898.67484036607,-16774.30615354285
primary metals,g0.75,-1781.1895881979872,-3731.1968092485436,-1929.6115618007855
Accommodation and food service activities,g1.0,-2355.0823409656377,-4546.580235606763,-7893.717685905231
Administrative and support service activities,g1.0,-15399.609380947652,-30794.826831472525,-8665.312896443387
"Agriculture, hunting, forestry, fishing and related",g1.0,-2427.5061633875603,-3481.5268300252383,-2621.631416808536
Air transport,g1.0,-1018.3918629552045,-2042.6984253456092,-1049.30780435342
"Arts, entertainment and recreation activities",g1.0,-1160.4445617617143,-2325.851598244346,-2162.841681401916
Construction,g1.0,-2058.8363655483477,-3621.4063822233015,-8595.262004171798
Education and public administration,g1.0,-9509.162799687601,-16387.245016746154,-23143.15706453222
"Electricity, gas, steam and air conditioning supply, and wasterwater",g1.0,-3049.039254686882,-5348.693308296578,-3681.1503126060143
Financial and insurance activities,g1.0,-27085.076541624538,-57794.07203378116,-38151.19683470917
Human health and social work activities,g1.0,-2202.4906844515112,-2477.6936364798903,-16434.529132506683
Land transport and transport via pipelines,g1.0,-3363.5580704342797,-5953.5171454609745,-4085.984133622356
"Manufacture of chemicals and chemical products, pharmaceutical",g1.0,-4498.033551658321,-8133.921095712122,-5128.0159523410475
Manufacture of coke and refined petroleum products,g1.0,-4517.526157091656,-8132.8321179058785,-1458.6814288697226
"Manufacture of computer, electronic and optical products",g1.0,-865.9853300098453,-1624.013840751779,-1291.2280950784727
