region,build,Leontief,IIM,Ghosh
OR,g1.25,-636.5835321945156,-1171.3333344885807,-1201.6860479412424
PA,g1.25,-15905.71318031399,-30088.775661007792,-18789.89282593316
PAK,g1.25,-46.8296136940413,-82.22564064432163,-58.83500836840357
PER,g1.25,-103.46215785009687,-188.4739497052961,-238.90976653998925
PHL,g1.25,-214.7837933968803,-399.97192766529116,-197.74236463638886
POL,g1.25,-189.52567368672894,-341.3562427207954,-301.46619436345316
PRT,g1.25,-91.07324691788415,-161.90116107380516,-77.59488536678242
RI,g1.25,-1850.9578129193862,-3476.0303258166186,-2072.5036294749675
ROU,g1.25,-60.843073366231806,-110.92088191086108,-172.24216598776093
ROW,g1.25,-1893.1696049447921,-3418.67920405355,-2461.2007823646804
RUS,g1.25,-679.3815244634103,-1243.9197236386299,-583.5241918072444
SAU,g1.25,-415.37542810560484,-768.1920502414761,-384.6141147137968
SC,g1.25,-1846.6963712210504,-3412.5607423326887,-2976.5963535305145
SD,g1.25,-410.5921966611787,-742.297056103755,-596.620889480116
SEN,g1.25,-2.5032267841365092,-4.200141123302094,-4.732427580919843
SGP,g1.25,-684.1131379009354,-1294.625215414939,-1416.3491463709365
STP,g1.25,-0.07665372254037191,-0.1590436470469995,-0.09504486248538752
SVK,g1.25,-40.01648749127476,-70.95562261656988,-57.61652458151358
SVN,g1.25,-16.32712837868162,-28.985920004930158,-25.21992415346596
SWE,g1.25,-242.16594415102355,-441.38695371988564,-491.7815497537815
THA,g1.25,-338.44407684808505,-566.2403564397631,-609.8335416527151
TN,g1.25,-2558.2301303577447,-4758.147011339248,-4436.915339523133
TUN,g1.25,-9.856769319497324,-17.877906157752722,-16.008544279125427
TUR,g1.25,-209.65435485471448,-367.8700201802572,-372.7137904824205
TWN,g1.25,-642.9135369434966,-1120.9454050424338,-770.1957436593545
TX,g1.25,-8445.050247475281,-15618.694508669796,-15987.312081743727
UKR,g1.25,-35.56114776076106,-66.86009608532842,-85.83527303865708
UT,g1.25,-826.9501517036679,-1551.0563963814018,-1404.2050625500742
VA,g1.25,-7257.947500382876,-13623.669047751331,-9904.716976764072
VNM,g1.25,-343.37407201565924,-558.3322736914133,-435.3218733029431
VT,g1.25,-1226.6212109680826,-2248.4181069709343,-1628.6149665394678
WA,g1.25,-1815.1973445752806,-3424.803304882344,-3176.617198774615
