gamma,NV_to_CA_all_pct,NV_to_CA_goods_pct,CA_from_NV_all_pct,mean_export_share_to_CA_goods_pct,tv_pairs_vs_gamma1,mean_partner_tv_vs_gamma1
0.1,11.844493937176024,13.050249637892389,1.6880559229823484,9.503377687732229,0.22811046939020357,0.23599450594663363
0.2,14.822216313276721,15.840804834055627,2.10861582135567,9.668675646098901,0.20555045301532857,0.21276973276236885
0.3,18.270913694725195,18.994344002459485,2.594179608114081,9.844066013788195,0.1818733907408776,0.1884505007564974
0.4,22.16307522625371,22.480446191601832,3.1403859536485927,10.028526453149404,0.15729101405456777,0.1632297705579923
0.5,26.439396359030695,26.245274737978814,3.738486838255836,10.220528132052078,0.1319509256759046,0.13717200486698466
0.75,38.18928641399058,36.357982606739306,5.372355724652392,10.719946380469045,0.06634907479220481,0.0693939211959766
1.0,50.052021184222134,46.36417911459596,7.010249137149966,11.218253759270707,0.0,0.0
1.25,60.578245124651,55.19862350586524,8.456323012038002,11.684430731999905,0.06405252470896793,0.0677881516310406
1.5,69.08203376221981,62.45291699693419,9.621372562285577,12.099068909432253,0.12369439993827075,0.13166822792786914
2.0,80.28895150453796,72.77724743270439,11.155793541739074,12.744699660518135,0.2248030898175688,0.24175982817873126
2.5,86.17481604873272,79.37124025590636,11.96340634362896,13.154656346444357,0.30147609794882535,0.32650373437559677
3.0,89.18850749095064,83.60619846727676,12.37852060914923,13.345491978997053,0.3584211888523194,0.3896106821629228
